,smiles,source,MW,standard_smiles
20920,COC1=CC(OC)=C(CC=C)C=C1,Food,178.2277,C=CCc1ccc(OC)cc1OC
20921,CC1(C)OC2=C3OC4=C(C=CC=C4O)C(=O)C3=C(O)C=C2C=C1,Food,310.3008,CC1(C)C=Cc2cc(O)c3c(=O)c4cccc(O)c4oc3c2O1
20922,CC(=O)C1=CC2=C(OC(C2)C(=C)CO)C=C1,Food,218.2485,C=C(CO)C1Cc2cc(C(C)=O)ccc2O1
20923,COC1=C(OC)C=C(C=C)C=C1,Food,164.2011,C=Cc1ccc(OC)c(OC)c1
20924,CN1C=CC=C1C(C)=O,Food,123.1525,CC(=O)c1cccn1C
20926,CN1C2=CN=CC=C2C(=O)C2=C1C1=C(OC(C)(C)C=C1)C=C2O,Food,308.3312,Cn1c2cnccc2c(=O)c2c(O)cc3c(c21)C=CC(C)(C)O3
20927,CN1C(=O)C2=C(OC(C)(CCC=C(C)C)C=C2)C2=CC=CC=C12,Food,309.4021,CC(C)=CCCC1(C)C=Cc2c(c3ccccc3n(C)c2=O)O1
20928,CC(C)C(=O)CCC1(C)OC2=C(C=C1)C(=O)N(C)C1=CC=CC=C21,Food,325.4015,CC(C)C(=O)CCC1(C)C=Cc2c(c3ccccc3n(C)c2=O)O1
20929,COC1=CC(\C=C\C(=O)NCCC2=CC=C(O)C=C2)=CC2=C1OC(C2C(=O)NCCC1=CC=C(O)C=C1)C1=CC(OC)=C(O)C=C1,Food,624.6796,COc1cc(C2Oc3c(OC)cc(/C=C/C(=O)NCCc4ccc(O)cc4)cc3C2C(=O)NCCc2ccc(O)cc2)ccc1O
20930,OCC1OC(OC2=C(O)C=C(O)C3=C2OC(C2=CC=C(O)C=C2)=C(OC2OC(CO)C(O)C(O)C2O)C3=O)C(O)C(O)C1O,Food,626.5169,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)cc2)oc2c(OC3OC(CO)C(O)C(O)C3O)c(O)cc(O)c12
20931,COC1=C(O)C=C(C=C1)C1CC(=O)C2=C(O)C=C(OC3OC(COC4OC(C)C(O)C(O)C4O)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O1,Food,756.7018,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3O2)cc1O
20935,CCCCCCCCC(C)CC(C)C,Food,198.388,CCCCCCCCC(C)CC(C)C
20937,O[C@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C(O)=C1)C([C@H]1[C@H](O)[C@H](OC3=C1C(O)=CC(O)=C3[C@H]1[C@H](O)[C@H](OC3=C1C(O)=CC(O)=C3)C1=CC(O)=C(O)C(O)=C1)C1=CC(O)=C(O)C(O)=C1)=C(O)C=C2O,Food,914.7706,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@@H](O)[C@@H]2c1c(O)cc(O)c2c1O[C@H](c1cc(O)c(O)c(O)c1)[C@@H](O)[C@@H]2c1c(O)cc(O)c2c1O[C@H](c1cc(O)c(O)c(O)c1)[C@@H](O)C2
20938,COC1=CC=CC2=C1N(C)C(=O)C1=C2OC(C)(CC2N(C)C3=C(C=CC4=CC5=C(OCO5)C=C34)C3=C2C(OC)=C(OC)C=C3)C=C1,Food,618.6751,COc1ccc2c(c1OC)C(CC1(C)C=Cc3c(c4cccc(OC)c4n(C)c3=O)O1)N(C)c1c-2ccc2cc3c(cc12)OCO3
20939,COC1=C(\C=C\C(C)=C)C(=O)NC2=C1C=CC=C2,Food,241.2851,C=C(C)/C=C/c1c(OC)c2ccccc2[nH]c1=O
20940,COC1=C(\C=C\C(C)=C)C(=O)N(C)C2=CC=CC=C12,Food,255.3117,C=C(C)/C=C/c1c(OC)c2ccccc2n(C)c1=O
20941,COC1=CC2=C(C(O)=C1)C(=O)C1=C(C=C(O)C=C1)N2C,Food,271.268,COc1cc(O)c2c(=O)c3ccc(O)cc3n(C)c2c1
20942,CC1=C\C(NC1=O)=C/CCCN1CCCCC11NC(=O)C(C)=C1,Food,315.41,CC1=C/C(=C\CCCN2CCCCC23C=C(C)C(=O)N3)NC1=O
20943,COC1=C(OC)C2=C(C=C1)C(=O)C1=C(N2)C(C2CC(C)(C)OC3=C2C(O)=C2C=C(C(=O)OC2=C3C(C)(C)C=C)C(C)(C)C=C)=C(OC)C=C1O,Food,681.7707,C=CC(C)(C)c1cc2c(O)c3c(c(C(C)(C)C=C)c2oc1=O)OC(C)(C)CC3c1c(OC)cc(O)c2c(=O)c3ccc(OC)c(OC)c3[nH]c12
20944,COC1=C(C2CC(C)(C)OC3=C2C(O)=C2C=C(C(=O)OC2=C3C(C)(C)C=C)C(C)(C)C=C)C2=C(C(O)=C1)C(=O)C1=C(N2)C(OC)=C(O)C=C1,Food,667.7441,C=CC(C)(C)c1cc2c(O)c3c(c(C(C)(C)C=C)c2oc1=O)OC(C)(C)CC3c1c(OC)cc(O)c2c(=O)c3ccc(O)c(OC)c3[nH]c12
20945,COC1=C(C=C2C=CC(=O)OC2=C1)C(C=C(C)C)C1=C(O)C2=C(N(C)C3=C(C=CC(O)=C3OC)C2=O)C2=C1OC(C)(C)C=C2,Food,595.6384,COc1cc2oc(=O)ccc2cc1C(C=C(C)C)c1c2c(c3c(c1O)c(=O)c1ccc(O)c(OC)c1n3C)C=CC(C)(C)O2
20946,COC1=C(C=C2C=CC(=O)OC2=C1)C(C=C(C)C)C1=C(O)C2=C(N(C)C3=C(C=CC=C3O)C2=O)C2=C1OC(C)(C)C=C2,Food,565.6124,COc1cc2oc(=O)ccc2cc1C(C=C(C)C)c1c2c(c3c(c1O)c(=O)c1cccc(O)c1n3C)C=CC(C)(C)O2
20962,CC1CC(=O)C2=C(O1)C=C(O)C=C2CC(O)=O,Food,236.2207,CC1CC(=O)c2c(CC(=O)O)cc(O)cc2O1
20963,CC1=CC(=O)C2=C(O1)C=C(O)C=C2CC(O)=O,Food,234.2048,Cc1cc(=O)c2c(CC(=O)O)cc(O)cc2o1
20964,CCOC(=O)CC(C)O,Food,132.1577,CCOC(=O)CC(C)O
20965,CCOC(=O)CCS,Food,134.197,CCOC(=O)CCS
20967,CC(COC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1,Food,284.3065,CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1
20978,CCOC(=O)C(CC1=CC=CC=C1)C(C)=O,Food,220.2643,CCOC(=O)C(Cc1ccccc1)C(C)=O
20979,CCCOC(=O)CC1=CC=CC=C1,Food,178.2277,CCCOC(=O)Cc1ccccc1
20980,CC(C)OC(=O)CC1=CC=CC=C1,Food,178.2277,CC(C)OC(=O)Cc1ccccc1
20981,CCCCOC(=O)CC1=CC=CC=C1,Food,192.2542,CCCCOC(=O)Cc1ccccc1
20982,O=COCCC1=CC=CC=C1,Food,150.1745,O=COCCc1ccccc1
20985,CCCCCCOC(=O)C1=CC=CC=C1,Food,206.2808,CCCCCCOC(=O)c1ccccc1
20987,CCOC(=O)CCC(C)=O,Food,144.1684,CCOC(=O)CCC(C)=O
20988,OC1CC(O)(CC(C1O)C(=O)OC1=CC(O)=C(O)C(O)=C1C1=C(O)C(O)=C(O)C=C1C1OC2=C(CC1OC(=O)C1=CC(O)=C(O)C(O)=C1)C(O)=CC(O)=C2)C(O)=O,Food,800.6267,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1-c1c(OC(=O)C2CC(O)(C(=O)O)CC(O)C2O)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1
20989,COC1=CC2=C(C=C1)N=CN(C2=O)C1=CC=C(OC)C=C1CO,Food,312.3199,COc1ccc(-n2cnc3ccc(OC)cc3c2=O)c(CO)c1
20990,CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)CC2=CC=CC=C2)=CC1=O)CC1=CC=CC=C1,Food,546.7864,CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1
20991,CCCCCCCC(=O)C1=CC=CO1,Food,194.2701,CCCCCCCC(=O)c1ccco1
20992,COC1=CC=C(N2CN(C=O)C3=CC=C(OC)C=C3C2)C(CO)=C1,Food,328.3624,COc1ccc2c(c1)CN(c1ccc(OC)cc1CO)CN2C=O
20993,COC1=CC2=C(C=C1)N(CN(C2=O)C1=CC=C(OC)C=C1CO)C=O,Food,342.3459,COc1ccc(N2CN(C=O)c3ccc(OC)cc3C2=O)c(CO)c1
20994,CN1C(N)=NC2=C1C=CC1=C2N=CC=N1,Food,199.212,Cn1c(N)nc2c3nccnc3ccc21
20995,CCOCC1=CC=CO1,Food,126.1531,CCOCc1ccco1
20996,CC(=O)CC(=O)OCC1=CC=CC=C1,Food,192.2112,CC(=O)CC(=O)OCc1ccccc1
20997,CCCCOC(=O)CC(C)=O,Food,158.195,CCCCOC(=O)CC(C)=O
20998,CCC(C)C1CCCCC1=O,Food,154.2493,CCC(C)C1CCCCC1=O
20999,CCOCC1=CC=CC=C1O,Food,152.1904,CCOCc1ccccc1O
21000,OCC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,Food,280.363,OCc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
21001,O=C1CCCCCCCCCCCCO1,Food,212.3285,O=C1CCCCCCCCCCCCO1
21002,C1CSSSC1,Food,138.275,C1CSSSC1
21003,OCC1OC(OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C(O)=C2C2=C(C=C(O)C(O)=C2O)C2OC3=C(CC2OC(=O)C2=CC(O)=C(O)C(O)=C2)C(O)=CC(O)=C3)C(O)C(O)C1O,Food,936.7315,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1-c1c(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1
21007,BrC1CCS(=O)(=O)C1,Food,199.066,O=S1(=O)CCC(Br)C1
21008,C=C1CCC(=C)C(=C)C1,Food,120.1916,C=C1CCC(=C)C(=C)C1
21009,O=C1CCCCCCCCCCCC(=O)OCCO1,Food,270.3645,O=C1CCCCCCCCCCCC(=O)OCCO1
21010,CC(=O)OCC1=CC=C(C)C=C1,Food,164.2011,CC(=O)OCc1ccc(C)cc1
21011,CCCCOC(=O)CC(O)(C(O)C(=O)OCCCC)C(=O)OC,Food,334.3621,CCCCOC(=O)CC(O)(C(=O)OC)C(O)C(=O)OCCCC
21012,CCCCOC(=O)CC1(O)C(OC1=O)C(=O)OCCCC,Food,302.3203,CCCCOC(=O)CC1(O)C(=O)OC1C(=O)OCCCC
21019,COC1=C2C(=O)CC(OC2=CC(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)=C1)C1=CC(O)=C(O)C=C1,Food,626.56,COc1cc(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)cc2c1C(=O)CC(c1ccc(O)c(O)c1)O2
21020,COC1=C(O)C=C2C(C(CO)C(CO)CC2=C1)C1=CC(OC)=C(OC2OC(CO)C(O)C(O)C2O)C=C1,Food,522.5416,COc1cc2c(cc1O)C(c1ccc(OC3OC(CO)C(O)C(O)C3O)c(OC)c1)C(CO)C(CO)C2
21021,COC1=C2OCOC2=CC(=C1)C1CC(=O)C2=C(O1)C=C(O)C(OC)=C2O,Food,360.3148,COc1cc(C2CC(=O)c3c(cc(O)c(OC)c3O)O2)cc2c1OCO2
21022,OCC1OC(OC2=C(OC3=CC(OC(=O)\C=C\C4=CC=C(O)C=C4)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C(O)C1O,Food,594.5196,O=C(/C=C/c1ccc(O)cc1)Oc1cc(O)c2c(=O)c(OC3OC(CO)C(O)C(O)C3O)c(-c3ccc(O)cc3)oc2c1
21023,CC(=O)OCC1OC(OC2C(O)C(O)C(CO)OC2OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C(O)C1O,Food,652.5542,CC(=O)OCC1OC(OC2C(Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)OC(CO)C(O)C2O)C(O)C(O)C1O
21024,CC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Food,594.5181,CC1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
