,smiles,source,MW,standard_smiles
14814,COC1=C(O)C=C2C(CC3=CC=C(O)C=C3)=NC=CC2=C1,Food,281.3059,COc1cc2ccnc(Cc3ccc(O)cc3)c2cc1O
14815,COP(=O)(OC)OC=C(Cl)Cl,Food,220.976,COP(=O)(OC)OC=C(Cl)Cl
14817,OCC1OC(=O)CC1O,Food,132.1146,O=C1CC(O)C(CO)O1
14818,O=C(CCCCCCC\C=C\C1=CC2=C(OCO2)C=C1)N1CCCC1,Food,343.4599,O=C(CCCCCCC/C=C/c1ccc2c(c1)OCO2)N1CCCC1
14819,CC1CCC2C(C)=CC3(O)OC12CC3=C(C)C,Food,234.334,CC1=CC2(O)OC3(CC2=C(C)C)C(C)CCC13
14820,CC(C)CCC1=CC2=C(N1)N=CC=C2,Food,188.2688,CC(C)CCc1cc2cccnc2[nH]1
14821,OCCCC1=CC=CC=C1,Food,136.191,OCCCc1ccccc1
14822,C=CCSS(=O)CC=C,Food,162.273,C=CCSS(=O)CC=C
14823,CC(C)(COC1OC(CO)C(O)C(O)C1O)C(O)C(=O)NCCC(O)=O,Food,381.3756,CC(C)(COC1OC(CO)C(O)C(O)C1O)C(O)C(=O)NCCC(=O)O
14824,C=CCSSCC=C,Food,146.274,C=CCSSCC=C
14825,CCOC(=O)C1=CC=CC=C1,Food,150.1745,CCOC(=O)c1ccccc1
14826,COC(=O)C1=CC=CC=C1,Food,136.1479,COC(=O)c1ccccc1
14827,S=C=NCC1=CC=CC=C1,Food,149.213,S=C=NCc1ccccc1
14828,CCOC1=CC=C(C=O)C=C1,Food,150.1745,CCOc1ccc(C=O)cc1
14829,CCN(CC)CCO,Food,117.1894,CCN(CC)CCO
14831,[H][C@]1([C@@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C=C(O)C2=C1O[C@@H]([C@H](O)C2)C1=CC(O)=C(O)C=C1,Food,578.526,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2
14832,[H][C@@]1([C@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C=C(O)C2=C1O[C@@H]([C@@H](O)C2)C1=CC(O)=C(O)C=C1,Food,578.526,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@@H]2c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
14834,COC(=O)C=C,Food,86.0892,C=CC(=O)OC
14835,CCOC(=O)C=C,Food,100.1158,C=CC(=O)OCC
14836,CC1=C(C(=O)C2=C(O1)C=C(O)C=C2)C1=CC=CC=C1,Food,252.2647,Cc1oc2cc(O)ccc2c(=O)c1-c1ccccc1
14837,COC1=CC2=C(C=C1)C(=O)C(=C(C)O2)C1=CC=CC=C1,Food,266.2913,COc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1
14839,OCC1OC(OC2=CC(O)=C3C(=O)C(=COC3=C2)C2=CC=CC=C2O)C(O)C(O)C1O,Food,432.3775,O=c1c(-c2ccccc2O)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12
14840,CC1(C)OC2=CC(O)=C3C(=O)C(COC3=C2C=C1)C1=CC=C(O)C=C1O,Food,354.3533,CC1(C)C=Cc2c(cc(O)c3c2OCC(c2ccc(O)cc2O)C3=O)O1
14842,CC12OC3=C(C=CC(O)=C3)C(C1O)C1=C(OC3=C(C(O)=CC(=C3)C3=CC4=C(O3)C=C(O)C=C4)C1=C2)C1=C(O)C=C(O)C=C1,Food,576.549,CC12C=C3C(=C(c4ccc(O)cc4O)Oc4cc(-c5cc6ccc(O)cc6o5)cc(O)c43)C(c3ccc(O)cc3O1)C2O
14843,OC1=CC(O)=C(C=C1)C1COC2=C(C1)C=CC(O)=C2,Food,258.2693,Oc1ccc(C2COc3cc(O)ccc3C2)c(O)c1
14844,COC1=CC=C(C=C1)C1=COC2=C(C=CC(OC3OC(CO)C(O)C(O)C3O)=C2)C1=O,Food,430.4047,COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3c2=O)cc1
14845,OCC1OC(OC2=CC(O)=C3C(=O)C(=COC3=C2)C2=CC=C(O)C=C2)C(O)C(O)C1O,Food,432.3775,O=c1c(-c2ccc(O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12
14846,COC1=CC(O)=C2C(=O)C(=COC2=C1)C1=CC(OC)=C(O)C=C1,Food,314.2895,COc1cc(O)c2c(=O)c(-c3ccc(O)c(OC)c3)coc2c1
14847,COC1=CC=C(C=C1)C1=COC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C2C1=O,Food,446.4041,COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)cc(O)c3c2=O)cc1
14848,OC[C@H]1O[C@@H](OC2=CC3=C(C=C2)C(=O)C(=CO3)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Food,416.382,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12
14849,OCC1OC(OC2=CC=C(C=C2)C2=COC3=C(C=CC(OC4OC(CO)C(O)C(O)C4O)=C3)C2=O)C(O)C(O)C1O,Food,578.5187,O=c1c(-c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)coc2cc(OC3OC(CO)C(O)C(O)C3O)ccc12
14850,COC1=CC(OC)=C2C(OC3=C2C(=O)OC2=C3C=CC(O)=C2)=C1,Food,312.2736,COc1cc(OC)c2c(c1)oc1c3ccc(O)cc3oc(=O)c12
14851,COC1=CC=C2C(=O)C(=COC2=C1)C1=CC=C(O)C=C1,Food,268.2641,COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
14853,COC1=CC(O)=C(C=C1)C1COC2=CC(O)=C(OC)C=C2C1,Food,302.3218,COc1ccc(C2COc3cc(O)c(OC)cc3C2)c(O)c1
14854,OC1CC(=CC(O)C1OC(=O)\C=C/C1=CC(O)=C(O)C=C1)C(O)=O,Food,336.2934,O=C(/C=C\c1ccc(O)c(O)c1)OC1C(O)C=C(C(=O)O)CC1O
14856,O[C@@H]1C=C(C[C@@H](OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O,Food,336.296,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1CC(C(=O)O)=C[C@@H](O)[C@H]1O
14858,COC1=CC2=C(C=C1)C1COC3=C(C=CC(O)=C3OC)C1O2,Food,300.3059,COc1ccc2c(c1)OC1c3ccc(O)c(OC)c3OCC21
14859,OC1=CC2=C(C=C1)C1COC3=C(C=CC(O)=C3O)C1O2,Food,272.2528,Oc1ccc2c(c1)OC1c3ccc(O)c(O)c3OCC21
14860,CC(C)=CCC1=CC2=C(OCC3C2OC2=C3C=CC(O)=C2CC=C(C)C)C=C1O,Food,392.4874,CC(C)=CCc1cc2c(cc1O)OCC1c3ccc(O)c(CC=C(C)C)c3OC21
14861,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C=C2,Food,270.2369,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)ccc12
14862,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,Food,450.8664,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
14863,CCCN,Food,59.1103,CCCN
14864,C\C=C/C#CC#CC#C\C=C\C(O)CCl,Food,218.679,C/C=C\C#CC#CC#C/C=C/C(O)CCl
14865,COC1=C(OC)C2=C(C=C1)C1COC3=C(C=CC(O)=C3)C1O2,Food,300.3059,COc1ccc2c(c1OC)OC1c3ccc(O)cc3OCC21
14866,COC1=C(O)C2=C(OCC3C2OC2=CC4=C(OCO4)C=C32)C=C1O,Food,330.2889,COc1c(O)cc2c(c1O)C1Oc3cc4c(cc3C1CO2)OCO4
14867,COC1=C(C=CC(O)=C1CC=C(C)C)C1COC2=C(C1)C=CC(O)=C2,Food,340.4129,COc1c(C2COc3cc(O)ccc3C2)ccc(O)c1CC=C(C)C
14868,COC1=C(OC)C=C2C=C(OC2=C1)C1=C(O)C=C(O)C=C1,Food,286.2794,COc1cc2cc(-c3ccc(O)cc3O)oc2cc1OC
14869,COC1=CC2=C(C=C1)C1COC3=C(C=CC(O)=C3O)C1O2,Food,286.2794,COc1ccc2c(c1)OC1c3ccc(O)c(O)c3OCC21
14870,COC1=C(OC)C=C2C3OC4=CC5=C(OCO5)C=C4C3(O)COC2=C1,Food,344.3154,COc1cc2c(cc1OC)C1Oc3cc4c(cc3C1(O)CO2)OCO4
14871,OC1=CC(O)=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O,Food,286.2363,O=c1c(-c2ccc(O)cc2O)coc2cc(O)cc(O)c12
14872,COC1=CC2=C(C(O)=C1CC=C(C)C)C(=O)C1=C(O2)C=C(O)C=C1,Food,326.3432,COc1cc2oc3cc(O)ccc3c(=O)c2c(O)c1CC=C(C)C
14873,CCCC1=CC(=O)OC2=C(C(=O)CC(C)C)C(O)=C3C4OOC(C)(C)C4OC3=C12,Food,402.4376,CCCc1cc(=O)oc2c(C(=O)CC(C)C)c(O)c3c(c12)OC1C3OOC1(C)C
14876,CC1(C)OC2=C(C=C1)C1=C(C(O)=C2)C(=O)C(=CO1)C1=C(O)C=C(O)C=C1,Food,352.3374,CC1(C)C=Cc2c(cc(O)c3c(=O)c(-c4ccc(O)cc4O)coc23)O1
14877,COC1=C(C(O)=C(CC=C(C)C)C(O)=C1)C1=COC2=C(C(O)=C3C=CC(C)(C)OC3=C2)C1=O,Food,450.4804,COc1cc(O)c(CC=C(C)C)c(O)c1-c1coc2cc3c(c(O)c2c1=O)C=CC(C)(C)O3
14878,CC(=C)C1CC2=C(OC3=C(C(O)=CC4=C3C=CC(C)(C)O4)C2=O)C2=C1C(O)=C(O)C=C2O,Food,434.438,C=C(C)C1Cc2c(oc3c4c(cc(O)c3c2=O)OC(C)(C)C=C4)-c2c(O)cc(O)c(O)c21
14879,OC1=CC=C2C=C(C=CC2=C1\N=N\C1=CC=C(C=C1)S(O)(=O)=O)S(O)(=O)=O,Food,408.406,O=S(=O)(O)c1ccc(/N=N/c2c(O)ccc3cc(S(=O)(=O)O)ccc23)cc1
14880,OCC1OC(OCC2=CC=CC=C2O)C(O)C(O)C1O,Food,286.2778,OCC1OC(OCc2ccccc2O)C(O)C(O)C1O
14881,COC1=CC(O)=C(C=C1)C1COC2=C(C1)C=CC(OC)=C2,Food,286.3224,COc1ccc(C2COc3cc(OC)ccc3C2)c(O)c1
14882,COC1=C(CC=C(C)C)C2=C(C=C1)C1(O)COC3=C(C=CC(O)=C3)C1O2,Food,354.3964,COc1ccc2c(c1CC=C(C)C)OC1c3ccc(O)cc3OCC21O
14883,CC(C)=CCC1=C(O)C=CC2=C1OCC1(O)C2OC2=C1C=CC(O)=C2,Food,340.3698,CC(C)=CCc1c(O)ccc2c1OCC1(O)c3ccc(O)cc3OC21
14884,CC1(C)CCC2=C(O1)C=CC1=C2OC2=C1C(=O)OC1=C2C=CC(O)=C1,Food,336.338,CC1(C)CCc2c(ccc3c2oc2c4ccc(O)cc4oc(=O)c32)O1
14886,CC(C)C1=CC=CC=C1,Food,120.1916,CC(C)c1ccccc1
14887,COC1=C(OC)C2=C(C=C1)C(=O)C1=C(O2)C(OC)=C2OC(C)(C)C=CC2=C1OC,Food,398.4059,COc1ccc2c(=O)c3c(OC)c4c(c(OC)c3oc2c1OC)OC(C)(C)C=C4
14889,CC1(C)CC(=O)C2=C(O1)C=C(OC1OC(CO)C(O)C(O)C1O)C(CCC(O)=O)=C2,Food,426.4144,CC1(C)CC(=O)c2cc(CCC(=O)O)c(OC3OC(CO)C(O)C(O)C3O)cc2O1
14890,CCCCCCCCCCCCCCC1OC1CC\C=C/CCCCCCCCCCC1=CC(C)OC1=O,Food,530.865,CCCCCCCCCCCCCCC1OC1CC/C=C\CCCCCCCCCCC1=CC(C)OC1=O
14891,OCC1=CC(=O)C(O)=C(O1)C1=C(O)C(=O)C=C(CO)O1,Food,282.203,O=c1cc(CO)oc(-c2oc(CO)cc(=O)c2O)c1O
14892,OC(=O)C(CC1=CC(O)=C(O)C=C1)OC(=O)\C=C\C1=CC(O)=C(OC2=CC3=C(OC2=O)C=C(O)C(O)=C3)C=C1,Food,536.4405,O=C(/C=C/c1ccc(Oc2cc3cc(O)c(O)cc3oc2=O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O
14894,CC1=CC2=C(C(O)=C1)C(=O)C1=C(C=CC=C1O)C2C1C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O,Food,494.4915,Cc1cc(O)c2c(c1)C(C1c3cccc(O)c3C(=O)c3c(O)cc(CO)cc31)c1cccc(O)c1C2=O
14895,CC1=CC2=C(C(O)=C1)C(=O)C1=C(C=C(O)C=C1O)C2C1C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O,Food,510.4909,Cc1cc(O)c2c(c1)C(C1c3cccc(O)c3C(=O)c3c(O)cc(CO)cc31)c1cc(O)cc(O)c1C2=O
14896,O=C1C2C(COC3=CC4=C(OCO4)C=C23)OC2=C1C=C1C=COC1=C2,Food,336.295,O=C1c2cc3ccoc3cc2OC2COc3cc4c(cc3C12)OCO4
14897,CCC1OC(CC)OC(CC)O1,Food,174.2374,CCC1OC(CC)OC(CC)O1
14898,CC(=C)C1CC2=CC3=C(OCC4(O)C3OC3=C4C=CC(O)=C3)C=C2O1,Food,338.3539,C=C(C)C1Cc2cc3c(cc2O1)OCC1(O)c2ccc(O)cc2OC31
14899,OC1=CC2=C(C=C1)C1=C(O2)C2=C(OC1=O)C=C(O)C(O)=C2,Food,284.2204,O=c1oc2cc(O)c(O)cc2c2oc3cc(O)ccc3c12
14900,OC1=CC(O)=C2C=CC(=[O+]C2=C1)C1=CC(O)=C(O)C(O)=C1,Food,287.2442,Oc1cc(O)c2ccc(-c3cc(O)c(O)c(O)c3)[o+]c2c1
14902,CCC(C)(O)C\C(SC1OC(CO)C(O)C(O)C1O)=N/OS(O)(=O)=O,Food,405.442,CCC(C)(O)C/C(=N\OS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O
14903,COC1=C(OC)C(OC)=C(OC)C(CC=C)=C1,Food,238.2796,C=CCc1cc(OC)c(OC)c(OC)c1OC
14904,COC1=CC(OC)=C(C(C)=O)C(O)=C1C,Food,210.2265,COc1cc(OC)c(C(C)=O)c(O)c1C
14905,COC1=CC2=C(OCO2)C=C1C1=CC2=C(OC1=O)C=C1OC=CC1=C2,Food,336.295,COc1cc2c(cc1-c1cc3cc4ccoc4cc3oc1=O)OCO2
14906,CC(C)=CCC1=CC2=C(OC(=O)C3=C2OC2=C3C=CC(O)=C2)C=C1O,Food,336.338,CC(C)=CCc1cc2c(cc1O)oc(=O)c1c3ccc(O)cc3oc21
14907,OC1OC(COC(=O)C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O,Food,332.2601,O=C(OCC1OC(O)C(O)C(O)C1O)c1cc(O)c(O)c(O)c1
14910,CC(C)=CCC\C(C)=C\COC1=CC2=C(C=CC(=O)O2)C=C1,Food,298.3762,CC(C)=CCC/C(C)=C/COc1ccc2ccc(=O)oc2c1
14912,OC(=O)CCCCC1=CC2=C(OCO2)C=C1,Food,222.2372,O=C(O)CCCCc1ccc2c(c1)OCO2
14914,O=C1C2=CC=CC=C2NC2=CC3=C(NC4=CC=CC=C4C3=O)C=C12,Food,312.3215,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12
14916,CC(=O)OCC1OC(OC2=CC=C(O)C=C2)C(O)C(O)C1O,Food,314.2879,CC(=O)OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O
14923,OC1C(O)C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C(OC1COC(=O)C1=CC=C(O)C=C1)C1=C(O)C=C(O)C(C(=O)C2=CC(O)=C(O)C=C2)=C1O,Food,696.5652,O=C(OCC1OC(c2c(O)cc(O)c(C(=O)c3ccc(O)c(O)c3)c2O)C(OC(=O)c2cc(O)c(O)c(O)c2)C(O)C1O)c1ccc(O)cc1
14924,OC1C(O)C(OC(=O)C2=CC=C(O)C=C2)C(OC1COC(=O)C1=CC(O)=C(O)C(O)=C1)C1=C(O)C=C(O)C(C(=O)C2=CC(O)=C(O)C=C2)=C1O,Food,696.5652,O=C(OCC1OC(c2c(O)cc(O)c(C(=O)c3ccc(O)c(O)c3)c2O)C(OC(=O)c2ccc(O)cc2)C(O)C1O)c1cc(O)c(O)c(O)c1
14925,COC1=CC(\C=C/C(O)=O)=CC(OC)=C1O,Food,224.21,COc1cc(/C=C\C(=O)O)cc(OC)c1O
14926,OC[C@H]1O[C@@H](S\C(=N\OS(O)(=O)=O)CC=C)[C@H](O)[C@@H](O)[C@@H]1O,Food,359.373,C=CC/C(=N\OS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
14927,OCC1OC(S\C(CC(O)C=C)=N\OS(O)(=O)=O)C(O)C(O)C1O,Food,389.399,C=CC(O)C/C(=N\OS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O
14928,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Food,504.438,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
14929,NC1=NC(O)=C(OC2OC(CO)C(O)C(O)C2O)C(N)=N1,Food,304.2566,Nc1nc(N)c(OC2OC(CO)C(O)C(O)C2O)c(O)n1
14936,CC1CCCC(=O)C1=O,Food,126.1531,CC1CCCC(=O)C1=O
14941,OCC1OC(OCC(O)(CO)CC#N)C(O)C(O)C1O,Food,293.2705,N#CCC(O)(CO)COC1OC(CO)C(O)C(O)C1O
14943,CC1(C)OC2=CC3=C(C=C2C=C1)C1OC2=C(C=CC(O)=C2)C1(O)CO3,Food,338.3539,CC1(C)C=Cc2cc3c(cc2O1)OCC1(O)c2ccc(O)cc2OC31
14951,CC(C)=CCCC1(C)OC2=C(C=C1)C(O)=C1C(=O)C3=CC4CC5C(C)(C)OC(C\C=C(\C)C(O)=O)(C4=O)C35OC1=C2CC=C(C)C,Food,628.7512,CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(C/C=C(/C)C(=O)O)C4=O)C3=O
14952,CCCC1=CC(=O)OC2=C1C(O)=C(CC=C(C)C)C(O)=C2C(=O)C(C)C,Food,358.4281,CCCc1cc(=O)oc2c(C(=O)C(C)C)c(O)c(CC=C(C)C)c(O)c12
14954,CC(C)=CCCC1(C)OC2=CC3=C(C(=O)CC(O3)C3=C(O)C=C(O)C=C3)C(O)=C2C=C1,Food,422.4703,CC(C)=CCCC1(C)C=Cc2c(cc3c(c2O)C(=O)CC(c2ccc(O)cc2O)O3)O1
14956,COC1=CC2=C(C(O)=C3C(=O)C=C(C)OC3=C2C2=C(O)C=C3C=C4OC(C)=CC(=O)C4=C(O)C3=C2OC)C(OC)=C1,Food,556.5163,COc1cc(OC)c2c(O)c3c(=O)cc(C)oc3c(-c3c(O)cc4cc5oc(C)cc(=O)c5c(O)c4c3OC)c2c1
14957,CCC(C)C1NC(=O)C(NC(=O)C(CC2=CC=CC=C2)N(C)C)C(OC2=CC=C(C=C2)\C=C/NC1=O)C1=CC=CC=C1,Food,568.7058,CCC(C)C1NC(=O)C(NC(=O)C(Cc2ccccc2)N(C)C)C(c2ccccc2)Oc2ccc(cc2)/C=C\NC1=O
14960,COC1=CC=C(CC2N(C)CCC3=CC(OC)=C(OC4=C(O)C=CC(CC5N(C)CCC6=CC(OC)=C(OC)C=C56)=C4)C=C23)C=C1,Food,624.7658,COc1ccc(CC2c3cc(Oc4cc(CC5c6cc(OC)c(OC)cc6CCN5C)ccc4O)c(OC)cc3CCN2C)cc1
14961,OC1=CC2=C(C=C1)C1(O)COC3=C(C=CC(O)=C3)C1O2,Food,272.2528,Oc1ccc2c(c1)OCC1(O)c3ccc(O)cc3OC21
14962,CN=C=S,Food,73.117,CN=C=S
14963,OC1=CC=C(CC=C)C=C1,Food,134.1751,C=CCc1ccc(O)cc1
14965,CCCC1OC2CC(=O)OC2C2=C1C(=O)C1=C(C=CC=C1O)C2=O,Food,328.316,CCCC1OC2CC(=O)OC2C2=C1C(=O)c1c(O)cccc1C2=O
14966,CC1(C)OC2=C(C=O)C=C3C(NC4=CC=CC=C34)=C2C=C1,Food,277.3172,CC1(C)C=Cc2c(c(C=O)cc3c2[nH]c2ccccc23)O1
14967,CC(C)(O)C1=CC2=CC3=C(OCC4(O)C3OC3=C4C=CC(O)=C3)C=C2O1,Food,354.3533,CC(C)(O)c1cc2cc3c(cc2o1)OCC1(O)c2ccc(O)cc2OC31
14968,COC1=CC2=C(C=C1)C1(O)COC3=C(C=C4C=C(OC4=C3)C(C)(C)O)C1O2,Food,368.3799,COc1ccc2c(c1)OC1c3cc4cc(C(C)(C)O)oc4cc3OCC21O
14969,OC1OCC2OC(=O)C3=CC(O)=C(O)C(O)=C3C3=C(O)C(O)=C(O)C=C3C(=O)OC2C1O,Food,452.3225,O=C1OC2COC(O)C(O)C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O
14970,COC1=CC2=C(C=C1)C1OC3=C(C=CC(O)=C3)C1(O)CO2,Food,286.2794,COc1ccc2c(c1)OCC1(O)c3ccc(O)cc3OC21
14971,COC1=CC2=C(C=C1)C1(O)COC3=C(C=CC(O)=C3)C1O2,Food,286.2794,COc1ccc2c(c1)OC1c3ccc(O)cc3OCC21O
14972,COC1=CC2=C(C=C1)C1(O)COC3=C(C=CC(OC)=C3)C1O2,Food,300.3059,COc1ccc2c(c1)OCC1(O)c3ccc(OC)cc3OC21
14973,COC1=CC=C(\C=C/C2=CC(O)=CC(OC3OC(CO)C(O)C(O)C3O)=C2)C=C1,Food,404.4105,COc1ccc(/C=C\c2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c2)cc1
14974,[H]\C(=C(/[H])C1=CC(O)=CC(O)=C1)C1=CC=C(O)C=C1,Food,228.247,Oc1ccc(/C=C\c2cc(O)cc(O)c2)cc1
14975,C1OC2=C(O1)C=C(OC1OCC3C1COC3C1=CC3=C(OCO3)C=C1)C=C2,Food,370.3527,c1cc2c(cc1OC1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2
14976,CC1OC(OCC2OC(OC3=CC=C(CC=C)C=C3)C(O)C(O)C2O)C(O)C(O)C1O,Food,442.4569,C=CCc1ccc(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)cc1
14977,COC1=CC=C(CC=C)C=C1,Food,148.2017,C=CCc1ccc(OC)cc1
14978,COC1=C(OC(C)=O)C=CC(CC=C)=C1,Food,206.2378,C=CCc1ccc(OC(C)=O)c(OC)c1
14979,COC1=C(OC(=O)CC(C)C)C=CC(CC=C)=C1,Food,248.3175,C=CCc1ccc(OC(=O)CC(C)C)c(OC)c1
14980,COC1=C2C(O)=C3C(=O)CC(C)(O)OC3=CC2=CC(O)=C1,Food,290.2681,COc1cc(O)cc2cc3c(c(O)c12)C(=O)CC(C)(O)O3
14981,CC(C)=CCC1=C(O)C(=CC=C1O)C1=COC2=C(C(O)=CC(O)=C2)C1=O,Food,354.358,CC(C)=CCc1c(O)ccc(-c2coc3cc(O)cc(O)c3c2=O)c1O
14982,OC1=C(C(=O)C(C1=O)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,Food,296.2742,O=C1C(O)=C(c2ccc(O)cc2)C(=O)C1c1ccc(O)cc1
14983,COC1=CC2=C(C(O)=C1)C(=O)C(=CO2)C1=CC=C(O)C=C1,Food,284.267,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1
14985,COC1=CC2=C(OCO2)C=C1C1=COC2=C(C=C3C=COC3=C2)C1=O,Food,336.295,COc1cc2c(cc1-c1coc3cc4occc4cc3c1=O)OCO2
14986,CC(C)=CCC1=C(O)C=CC2=C1OC(=O)C=C2,Food,230.2592,CC(C)=CCc1c(O)ccc2ccc(=O)oc12
14988,COC1=CC2=C(C=C1OC)C=C(C(=O)O2)C(C)(C)C=C,Food,274.3117,C=CC(C)(C)c1cc2cc(OC)c(OC)cc2oc1=O
14989,COC1=CC2=C(OC(=O)C(=C2)C(C)(C)C=C)C=C1O,Food,260.2851,C=CC(C)(C)c1cc2cc(OC)c(O)cc2oc1=O
14991,COC1=C(OC(C)=O)C=CC(\C=C/C)=C1,Food,206.2378,C/C=C\c1ccc(OC(C)=O)c(OC)c1
14994,OC1=CC2=C(C=C1)C1=C(C3=C(O)C=C(O)C=C3O1)C(=O)O2,Food,284.2204,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12
14995,COC1=CC(O)=C2C(OC3=C2C(=O)OC2=C3C=CC(O)=C2)=C1,Food,298.247,COc1cc(O)c2c(c1)oc1c3ccc(O)cc3oc(=O)c12
14997,COC1=C(OC)C=C2C(OCC3OC4=C(C=C5C=COC5=C4)C(=O)C23O)=C1,Food,368.3368,COc1cc2c(cc1OC)C1(O)C(=O)c3cc4ccoc4cc3OC1CO2
14998,CCCCCC1=CC(=O)OC2=C3C=CC(C)(C)OC3=C(C(=O)CC(C)C)C(O)=C12,Food,398.492,CCCCCc1cc(=O)oc2c3c(c(C(=O)CC(C)C)c(O)c12)OC(C)(C)C=C3
14999,CC(C)=CCC1=C(OC2=C(C(O)=CC3=C2C=CC(C)(CO)O3)C1=O)C1=C(O)C=C(O)C=C1,Food,436.4539,CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(C)(CO)C=C3
15000,COC1=CC=C(\C=C\C2=CC(OC)=CC(=O)O2)C=C1,Food,258.2693,COc1ccc(/C=C/c2cc(OC)cc(=O)o2)cc1
15001,[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1(O)C(=O)C1=CC=C3O[C@H](CC3=C1O2)C(C)=C,Food,410.4166,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@]2(O)C3=O)O1
15003,OC1C(COC(=O)\C=C/C2=CC=C(O)C=C2)OC(OC2=CC3=C(OC4OC(COC(=O)CC(O)=O)C(OC(=O)CC(O)=O)C(O)C4O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)C(O)C1O,Food,913.7611,O=C(O)CC(=O)OCC1OC(Oc2cc(O)cc3[o+]c(-c4ccc(O)cc4)c(OC4OC(COC(=O)/C=C\c5ccc(O)cc5)C(O)C(O)C4O)cc23)C(O)C(O)C1OC(=O)CC(=O)O
15004,CCCCCCCCCCCC(C)=O,Food,198.3449,CCCCCCCCCCCC(C)=O
15005,COC1=CC(O)=C2C(=O)C(=COC2=C1)C1=CC=C(OC2OC(CO)C(O)C(O)C2O)C=C1,Food,446.4041,COc1cc(O)c2c(=O)c(-c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3)coc2c1
15006,OC1=CC(O)=C2C(=O)\C(OC2=C1)=C/C1=CC(O)=C(O)C=C1,Food,286.2363,O=C1/C(=C\c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
15011,NC(N)=S,Food,76.121,NC(N)=S
