,standard_smiles,source,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
24,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,approved,61.78260869565217,50.40298507462686,45.06578947368421,51.5,48.791044776119406,46.828125,41.61818181818182,44.02,44.95744680851064,46.02272727272727,47.24390243902439,48.6578947368421,50.31428571428572,52.28125,54.6551724137931,57.57692307692308,63.26086956521739,48.85,82.81818181818181,66.66666666666667,57.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,OC/C=C/c1ccccc1,approved,149.48387096774192,81.48780487804878,107.41463414634147,97.88888888888889,85.20833333333333,75.11111111111111,61.42857142857143,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,approved,87.31851851851852,88.425,92.10606060606061,96.16538461538461,96.80223880597015,92.24603174603175,97.74596774193549,86.02586206896552,73.9251101321586,77.14948453608247,77.30201342281879,73.76991150442478,71.7741935483871,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,approved,106.65040650406505,79.46927374301676,103.22421524663677,103.69902912621359,93.53252032520325,78.964,82.77578475336323,96.52763819095478,83.34146341463415,77.82474226804123,78.56687898089172,86.73469387755102,123.58064516129032,118.62068965517241,150.8125,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,approved,85.05325443786982,75.02100840336135,87.70967741935483,81.83195592286502,86.3389355742297,79.9420731707317,82.5728476821192,102.08880308880309,86.23595505617978,81.452,74.30801687763713,74.34482758620689,76.54368932038835,63.654970760233915,69.88148148148149,72.87272727272727,87.37037037037037,108.0625,69.8225806451613,70.29166666666667,63.72,13.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CCC1(c2ccccc2)NC(=O)N(C)C1=O,approved,112.0,106.26923076923077,144.3763440860215,126.22727272727273,121.29113924050633,87.78846153846153,74.94444444444444,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,OCCN(CCO)CCO,approved,53.714285714285715,62.388888888888886,59.55555555555556,41.5,45.06666666666667,72.33333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,approved,120.81481481481481,108.0886075949367,133.16494845360825,109.84415584415585,102.38461538461539,94.44444444444444,82.875,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CN1CCN2c3c(cccc31)[C@@H]1CN(CCCC(=O)c3ccc(F)cc3)CC[C@@H]12,approved,96.14035087719299,81.63276836158192,94.37229437229438,83.06306306306307,78.71014492753623,78.83636363636364,91.453125,90.98305084745763,87.03539823008849,103.7127659574468,124.13333333333334,125.29411764705883,106.27118644067797,90.6923076923077,81.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CN1CCN(C(c2ccccc2)c2ccccc2)CC1,approved,110.46153846153847,80.6842105263158,83.56862745098039,89.81679389312977,107.13636363636364,89.95973154362416,91.73076923076923,71.1923076923077,67.33333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,approved,120.08474576271186,104.04705882352941,119.57142857142857,111.94117647058823,96.94117647058823,102.83333333333333,92.54716981132076,138.51111111111112,181.91666666666666,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,approved,127.47674418604652,98.25,124.53205128205128,130.75806451612902,133.14173228346456,132.1811023622047,132.9090909090909,123.49019607843137,114.17647058823529,119.65625,112.3125,116.5,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,approved,121.34482758620689,111.47619047619048,136.41726618705036,131.48387096774192,114.27272727272727,104.96938775510205,119.65,129.35632183908046,126.41666666666667,101.41538461538461,104.94827586206897,120.85365853658537,169.93548387096774,151.3939393939394,100.33333333333333,97.77777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,approved,110.82203389830508,79.81967213114754,99.8859649122807,100.71610169491525,99.69140625,92.87083333333334,87.01069518716578,76.33333333333333,85.744,96.19469026548673,111.89908256880734,99.85714285714286,75.17142857142858,64.5,18.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,approved,54.89230769230769,60.714285714285715,59.71786833855799,63.09809264305177,66.56047197640117,55.565384615384616,80.47191011235955,69.3984962406015,104.77083333333333,72.03030303030303,90.51515151515152,324.2857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,approved,65.22772277227723,69.1775147928994,74.91666666666667,59.32411067193676,82.51041666666667,82.272,95.75862068965517,106.01515151515152,171.375,429.1111111111111,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(S(C)(=O)=O)C3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,approved,111.52586206896552,122.0919540229885,133.455,132.2139037433155,130.99404761904762,144.89864864864865,140.69753086419752,127.41618497109826,136.6529411764706,120.12738853503184,107.49618320610686,112.74489795918367,127.79661016949153,98.95348837209302,51.22222222222222,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,approved,75.69333333333333,64.82159624413146,66.82954545454545,66.88755020080322,57.2017937219731,66.64545454545454,51.29752066115702,59.294117647058826,61.33516483516483,75.07142857142857,60.622950819672134,69.82608695652173,75.27906976744185,92.6842105263158,74.02439024390245,84.96666666666667,96.96296296296296,103.29166666666667,89.72727272727273,82.81818181818181,64.22222222222223,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,approved,72.42168674698796,60.6,60.93491124260355,68.8169014084507,86.86301369863014,65.09554140127389,56.77477477477478,46.0,63.57142857142857,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(C(=O)O)c1,approved,134.7340425531915,101.96212121212122,135.49056603773585,116.65359477124183,120.11111111111111,111.00735294117646,123.31818181818181,117.35576923076923,98.11818181818182,104.58333333333333,112.80232558139535,109.41379310344827,105.08888888888889,118.22727272727273,143.45454545454547,48.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,CCCCCCOC(=O)CCC(=O)CN,approved,65.453125,70.56626506024097,81.89041095890411,56.37313432835821,70.08474576271186,84.46938775510205,80.38636363636364,77.37777777777778,56.97435897435897,65.26666666666667,83.80952380952381,33.333333333333336,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,approved,175.25,132.5483870967742,153.20634920634922,162.6140350877193,156.57627118644066,157.22222222222223,135.90243902439025,168.31428571428572,176.68,161.4,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,approved,113.67326732673267,78.92465753424658,103.7877094972067,102.60689655172413,102.2463768115942,114.17557251908397,128.30578512396696,116.07142857142857,90.35714285714286,93.62385321100918,111.64367816091954,82.71604938271605,67.70270270270271,57.54545454545455,47.57142857142857,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,approved,58.66860465116279,45.69268292682927,60.804761904761904,49.90869565217391,53.50802139037433,57.06842105263158,49.67942583732057,53.09090909090909,53.28484848484848,46.88586956521739,45.76,46.40251572327044,42.410714285714285,47.422222222222224,47.875,44.422818791946305,49.5,49.689922480620154,47.02307692307692,52.17142857142857,51.98245614035088,50.513513513513516,55.733333333333334,54.96969696969697,55.44565217391305,60.72,59.023809523809526,62.945205479452056,68.2,65.79710144927536,56.771929824561404,52.97959183673469,41.55102040816327,34.65714285714286,39.766666666666666,25.666666666666668,23.047619047619047,30.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
48,FCC(F)(F)F,approved,69.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,approved,86.80165289256199,60.040462427745666,74.13089005235602,62.26553672316384,60.76543209876543,58.470588235294116,60.11678832116788,60.13076923076923,64.61417322834646,65.35833333333333,64.57657657657657,69.81,69.3695652173913,82.34567901234568,82.53947368421052,76.60810810810811,83.83076923076923,88.84210526315789,105.73469387755102,95.575,84.67857142857143,71.66666666666667,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,approved,78.55244755244755,61.64678899082569,80.76258992805755,73.224,73.96444444444444,73.4766355140187,72.26521739130435,71.32627118644068,82.18468468468468,85.46596858638743,85.29885057471265,76.76543209876543,76.88571428571429,79.04838709677419,81.83333333333333,73.28282828282828,74.98630136986301,66.78181818181818,53.25714285714286,46.86206896551724,22.94736842105263,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,approved,135.51764705882354,108.14406779661017,124.57241379310345,129.1216216216216,108.85549132947978,114.2183908045977,114.29787234042553,120.91176470588235,114.87323943661971,54.81395348837209,85.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,approved,105.04347826086956,101.9047619047619,123.10606060606061,115.74137931034483,131.725,123.33333333333333,88.08333333333333,82.25,45.142857142857146,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
