,standard_smiles,source
134,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,approved
135,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,approved
136,NCCc1ccn[nH]1,approved
137,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,approved
138,Nc1ccc(C(=O)O)c(O)c1,approved
139,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],approved
140,CNC1(C)C2CCC(C2)C1(C)C,approved
141,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,approved
142,CNC(=N)NCCC[C@H](N)C(=O)O,approved
143,NCC(=O)CCC(=O)O,approved
144,Nc1ccc(C(=O)O)cc1,approved
145,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,approved
146,CCCCCCCCCCCCCCCCCCCCCCO,approved
147,OCc1ccccc1,approved
148,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,approved
149,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,approved
150,N=C(N)NCC1COc2ccccc2O1,approved
151,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,approved
152,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,approved
153,C[N+](C)([11CH3])CCO,approved
154,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,approved
155,CC(C)Cc1ccc(C(C)C(=O)O)cc1,approved
156,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,approved
157,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,approved
158,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,approved
159,NCCNCCNCCN,approved
160,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CCN(CC(=O)[O-])CC(=O)O.[Gd+3],approved
161,Oc1ccc(OCc2ccccc2)cc1,approved
162,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,approved
163,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,approved
164,CCCCCCCCCCCC(=O)O,approved
165,C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,approved
166,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,approved
167,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,approved
168,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,approved
169,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,approved
170,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,approved
171,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,approved
172,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,approved
173,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,approved
174,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,approved
175,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,approved
176,C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,approved
177,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,approved
178,CCCCCCCC/C=C\CCCCCCCC(=O)O.NCCO,approved
179,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,approved
180,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,approved
181,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1,approved
182,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,approved
183,CC(c1ccccc1)c1ccc(O)cc1O,approved
184,N[C@@H]1CONC1=O,approved
185,[Co],approved
186,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,approved
187,CC[P+](CC)(CC)[Au-]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,approved
188,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,approved
189,[O-][Si]1([O-])O[Si]([O-])([O-])O[Si]([O-])([O-])O1.[Zr],approved
190,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,approved
